"","CFA District","CFA Brigade Area","Number of incidents within the Brigade Area for the reporting period across all Hazard Classes"
"1","02","Bendigo",155
"2","02","Eaglehawk",38
"3","02","Golden Square",32
"4","02","Kangaroo Flat",38
"5","04","Portland",30
"6","05","Warrnambool",127
"7","07","Belmont",103
"8","07","Corio",207
"9","07","Geelong City",188
"10","07","Geelong West",25
"11","07","Lara",77
"12","07","Ocean Grove",24
"13","07","Torquay",58
"14","08","Berwick",71
"15","08","Carrum Downs",54
"16","08","Cranbourne",181
"17","08","Dandenong",304
"18","08","Edithvale",25
"19","08","Frankston",273
"20","08","Hallam",201
"21","08","Hampton Park",77
"22","08","Langwarrin",45
"23","08","Mornington",82
"24","08","Mt Eliza",30
"25","08","Noble Park",59
"26","08","Pakenham",90
"27","08","Patterson River",98
"28","08","Rosebud",69
