"","CFA District","CFA Brigade Area","Number of incidents within the Brigade Area for the reporting period across all Hazard Classes"
"1","02","Bendigo",225
"2","02","Eaglehawk",47
"3","02","Golden Square",24
"4","02","Kangaroo Flat",47
"5","04","Portland",35
"6","05","Hamilton",31
"7","05","Warrnambool",124
"8","06","Colac",43
"9","07","Belmont",112
"10","07","Corio",220
"11","07","Geelong City",233
"12","07","Lara",64
"13","07","Ocean Grove",24
"14","07","Torquay",44
"15","08","Berwick",111
"16","08","Carrum Downs",82
"17","08","Cranbourne",248
"18","08","Dandenong",374
"19","08","Edithvale",38
"20","08","Frankston",306
"21","08","Hallam",235
"22","08","Hampton Park",79
"23","08","Keysborough",52
"24","08","Langwarrin",45
"25","08","Mornington",105
"26","08","Mt Eliza",40
"27","08","Narre Warren",65
"28","08","Noble Park",68
"29","08","Pakenham",143
"30","08","Patterson River",112
"31","08","Rosebud",101
"32","08","Springvale",183
"33","08","Wonthaggi",30
"34","11","Bairnsdale",48
"35","13","Bayswater",57
"36","13","Belgrave",21
"37","13","Boronia",129
"38","13","Chirnside Park",25
"39","13","Ferntree Gully",59
"40","13","Lilydale",35
"41","13","Mooroolbark",42
"42","13","Mt Evelyn",20
"43","13","Rowville",80
"44","13","Scoresby",98
"45","13","South Warrandyte",24
"46","13","Upwey",22
"47","13","Warrandyte",54
"48","14","Caroline Springs",218
"49","14","Craigieburn",200
"50","14","Eltham City",76
"51","14","Epping",68
"52","14","Greenvale",75
"53","14","Melton",214
"54","14","Mernda",59
"55","14","Point Cook",128
"56","14","South Morang",42
"57","14","Sunbury",101
"58","14","Tarneit",294
"59","14","Werribee",109
"60","14","Wyndham Vale",60
"61","15","Bacchus Marsh",62
"62","15","Ballarat",107
"63","15","Ballarat City",124
"64","15","Lucas",56
"65","15","Sebastopol",41
"66","15","Wendouree",63
"67","16","Stawell",30
"68","18","Mildura",136
"69","20","Echuca",55
"70","20","Kyabram",31
"71","22","Shepparton",204
"72","23","Benalla",47
"73","23","Wangaratta",71
"74","24","Wodonga",152
"75","27","Moe",55
"76","27","Morwell",129
"77","27","Traralgon",98
