"","CFA District","CFA Brigade Area","Number of emergency incidents within the Brigade Area for the reporting period for Hazard Class 2","The time in which 90% of emergency incidents were responded to by any brigade","The time in which 90% of emergency incidents were responded to by the brigade within their own Brigade Area"
"1","02","Bendigo",58,"07:32","07:30"
"2","02","Castlemaine",10,"09:36","09:36"
"3","02","Eaglehawk",16,"09:23","14:45"
"4","02","Kangaroo Flat",12,"07:48","07:52"
"5","04","Portland",19,"07:00","07:00"
"6","05","Warrnambool",44,"07:13","07:13"
"7","06","Colac",10,"07:46","09:02"
"8","07","Belmont",56,"07:07","08:05"
"9","07","Corio",102,"07:31","07:56"
"10","07","Geelong City",122,"06:47","06:47"
"11","07","Lara",26,"10:28","10:28"
"12","07","Ocean Grove",10,"05:28","05:28"
"13","07","Torquay",15,"11:55","12:59"
"14","08","Berwick",25,"06:46","06:39"
"15","08","Carrum Downs",32,"08:57","09:21"
"16","08","Cranbourne",78,"09:51","09:51"
"17","08","Dandenong",126,"09:13","09:13"
"18","08","Edithvale",13,"06:52","07:13"
"19","08","Frankston",116,"07:07","07:18"
"20","08","Hallam",71,"07:23","08:24"
"21","08","Hampton Park",18,"08:35","12:16"
"22","08","Mornington",38,"07:07","07:07"
"23","08","Noble Park",12,"07:00","NULL"
"24","08","Pakenham",27,"08:13","07:51"
"25","08","Patterson River",29,"07:33","08:20"
"26","08","Rosebud",17,"07:27","07:27"
"27","08","Springvale",62,"07:53","08:49"
"28","11","Bairnsdale",11,"12:21","12:23"
"29","13","Bayswater",17,"06:39","06:39"
"30","13","Boronia",46,"06:17","06:27"
"31","13","Chirnside Park",14,"08:57","10:30"
"32","13","Ferntree Gully",24,"07:30","09:45"
"33","13","Lilydale",17,"09:23","09:23"
"34","13","Montrose",16,"06:49","09:07"
"35","13","Rowville",28,"06:57","07:49"
"36","13","Scoresby",32,"09:13","12:51"
"37","13","Warrandyte",14,"07:27","10:31"
"38","14","Caroline Springs",67,"08:57","11:32"
"39","14","Craigieburn",52,"09:43","09:43"
"40","14","Eltham",25,"06:48","06:48"
"41","14","Epping",28,"09:09","10:36"
"42","14","Greenvale",17,"08:51","11:31"
"43","14","Hoppers Crossing",61,"08:18","08:18"
"44","14","Melton",79,"08:04","08:04"
"45","14","Mernda",12,"08:35","08:37"
"46","14","Point Cook",37,"09:33","09:33"
"47","14","South Morang",22,"07:24","07:24"
"48","14","Sunbury",44,"08:20","08:20"
"49","14","Werribee",20,"07:13","10:03"
"50","15","Bacchus Marsh",20,"10:22","12:11"
"51","15","Ballarat",25,"08:03","10:29"
"52","15","Ballarat City",58,"05:28","05:27"
"53","15","Sebastopol",16,"08:45","11:18"
"54","15","Wendouree",36,"09:47","16:38"
"55","16","Stawell",14,"09:29","09:29"
"56","18","Mildura",48,"06:38","06:38"
"57","22","Shepparton",79,"07:13","07:13"
"58","23","Benalla",13,"08:34","08:34"
"59","23","Wangaratta",21,"05:41","06:15"
"60","24","Wodonga",40,"07:45","07:45"
"61","27","Moe",15,"04:39","NULL"
"62","27","Morwell",39,"06:28","06:28"
"63","27","Traralgon",34,"06:34","06:26"
