"","date","pm25","pm10","o3","no2","so2","co"
"1","16/05/2017",76,NA,NA,NA,NA,NA
"2","17/05/2017",69,NA,NA,NA,NA,NA
"3","18/05/2017",61,NA,NA,NA,NA,NA
"4","19/05/2017",67,NA,NA,NA,NA,NA
"5","20/05/2017",65,NA,NA,NA,NA,NA
"6","21/05/2017",55,NA,NA,NA,NA,NA
"7","22/05/2017",35,NA,NA,NA,NA,NA
"8","23/05/2017",32,NA,NA,NA,NA,NA
"9","24/05/2017",26,NA,NA,NA,NA,NA
"10","25/05/2017",31,NA,NA,NA,NA,NA
"11","26/05/2017",24,NA,NA,NA,NA,NA
"12","27/05/2017",23,NA,NA,NA,NA,NA
"13","28/05/2017",32,NA,NA,NA,NA,NA
"14","29/05/2017",14,NA,NA,NA,NA,NA
"15","30/05/2017",14,NA,NA,NA,NA,NA
"16","31/05/2017",20,NA,NA,NA,NA,NA
"17","1/06/2017",27,NA,NA,NA,NA,NA
"18","2/06/2017",30,NA,NA,NA,NA,NA
"19","3/06/2017",31,NA,NA,NA,NA,NA
"20","4/06/2017",41,NA,NA,NA,NA,NA
"21","5/06/2017",63,NA,NA,NA,NA,NA
"22","6/06/2017",69,NA,NA,NA,NA,NA
"23","7/06/2017",33,NA,NA,NA,NA,NA
"24","8/06/2017",33,NA,NA,NA,NA,NA
"25","9/06/2017",47,NA,NA,NA,NA,NA
"26","10/06/2017",46,NA,NA,NA,NA,NA
"27","11/06/2017",54,NA,NA,NA,NA,NA
"28","12/06/2017",65,NA,NA,NA,NA,NA
"29","13/06/2017",48,NA,NA,NA,NA,NA
"30","14/06/2017",58,NA,NA,NA,NA,NA
"31","15/06/2017",50,NA,NA,NA,NA,NA
"32","17/06/2017",54,NA,NA,NA,NA,NA
"33","18/06/2017",72,NA,NA,NA,NA,NA
"34","19/06/2017",82,NA,NA,NA,NA,NA
"35","20/06/2017",58,NA,NA,NA,NA,NA
"36","21/06/2017",40,NA,NA,NA,NA,NA
"37","22/06/2017",33,NA,NA,NA,NA,NA
"38","23/06/2017",46,NA,NA,NA,NA,NA
"39","24/06/2017",34,NA,NA,NA,NA,NA
"40","25/06/2017",25,NA,NA,NA,NA,NA
"41","26/06/2017",18,NA,NA,NA,NA,NA
"42","27/06/2017",19,NA,NA,NA,NA,NA
"43","28/06/2017",46,NA,NA,NA,NA,NA
"44","29/06/2017",35,NA,NA,NA,NA,NA
"45","30/06/2017",29,NA,NA,NA,NA,NA
"46","1/07/2017",33,NA,NA,NA,NA,NA
"47","2/07/2017",57,NA,NA,NA,NA,NA
"48","3/07/2017",33,NA,NA,NA,NA,NA
